Start training
Epoch 1, Loss: 0.6728538258823208, Accuracy: 58.07156133828996%
Epoch 2, Loss: 0.6556298968342048, Accuracy: 61.41263940520446%
Epoch 3, Loss: 0.6428776740319307, Accuracy: 63.52230483271376%
Epoch 4, Loss: 0.6326123218302564, Accuracy: 64.49814126394052%
Epoch 5, Loss: 0.6250447270420295, Accuracy: 65.46933085501858%
Epoch 6, Loss: 0.6193562624270282, Accuracy: 66.18959107806691%
Epoch 7, Loss: 0.6094673613382484, Accuracy: 67.22583643122677%
Epoch 8, Loss: 0.592460782575749, Accuracy: 68.85223048327137%
Epoch 9, Loss: 0.5744247253635486, Accuracy: 70.43680297397769%
Epoch 10, Loss: 0.5685592210930488, Accuracy: 71.09200743494424%
Epoch 11, Loss: 0.5592181678601218, Accuracy: 71.90985130111524%
Epoch 12, Loss: 0.5546345206816164, Accuracy: 72.39312267657992%
Epoch 13, Loss: 0.5509072510306938, Accuracy: 72.36059479553903%
Epoch 14, Loss: 0.546720975796854, Accuracy: 72.78810408921933%
Epoch 15, Loss: 0.5422173245169255, Accuracy: 73.14591078066914%
Epoch 16, Loss: 0.5408241981294499, Accuracy: 73.7360594795539%
Epoch 17, Loss: 0.5437665387301707, Accuracy: 72.81598513011153%
Epoch 18, Loss: 0.5315070253247492, Accuracy: 73.84758364312268%
Epoch 19, Loss: 0.5311603108185716, Accuracy: 73.96840148698885%
Epoch 20, Loss: 0.5304479440023783, Accuracy: 74.30297397769517%
Epoch 21, Loss: 0.5327918979866544, Accuracy: 74.01951672862454%
Epoch 22, Loss: 0.5273980479272301, Accuracy: 74.26579925650557%
Epoch 23, Loss: 0.5223088667881612, Accuracy: 74.35408921933086%
Epoch 24, Loss: 0.5162164530596443, Accuracy: 74.9860594795539%
Epoch 25, Loss: 0.5178210184443051, Accuracy: 75.06505576208178%
Epoch 26, Loss: 0.5191761102045804, Accuracy: 74.70724907063197%
Epoch 27, Loss: 0.5201307671562524, Accuracy: 74.67472118959108%
Epoch 28, Loss: 0.5105622563107053, Accuracy: 75.4460966542751%
Epoch 29, Loss: 0.51647529776525, Accuracy: 74.67472118959108%
Epoch 30, Loss: 0.5103367944794637, Accuracy: 75.53438661710037%
Epoch 31, Loss: 0.5085866346313199, Accuracy: 75.05111524163569%
Epoch 32, Loss: 0.5052897773605576, Accuracy: 75.70631970260223%
Epoch 33, Loss: 0.5083983145089596, Accuracy: 75.15334572490707%
Epoch 34, Loss: 0.5038556812599545, Accuracy: 75.87825278810409%
Epoch 35, Loss: 0.5063368840167993, Accuracy: 75.59944237918215%
Epoch 36, Loss: 0.5034559755233209, Accuracy: 75.52044609665427%
Epoch 37, Loss: 0.5038666706559917, Accuracy: 75.70631970260223%
Epoch 38, Loss: 0.5029580508528989, Accuracy: 75.57156133828997%
Epoch 39, Loss: 0.5031371493041958, Accuracy: 75.58550185873607%
Epoch 40, Loss: 0.4993341032852921, Accuracy: 75.8503717472119%
Epoch 41, Loss: 0.5012766276036471, Accuracy: 76.18029739776952%
Epoch 42, Loss: 0.502480188769359, Accuracy: 75.73420074349443%
Epoch 43, Loss: 0.49764880856822896, Accuracy: 76.33364312267658%
Epoch 44, Loss: 0.5005204995089442, Accuracy: 76.14312267657992%
Epoch 45, Loss: 0.49792333064603594, Accuracy: 76.30111524163569%
Epoch 46, Loss: 0.4966033842154456, Accuracy: 76.00371747211896%
Epoch 47, Loss: 0.4983891514399785, Accuracy: 76.09200743494424%
Epoch 48, Loss: 0.49715912448350247, Accuracy: 76.20353159851301%
Epoch 49, Loss: 0.49736091073873673, Accuracy: 76.2592936802974%
Epoch 50, Loss: 0.49998932461327644, Accuracy: 75.85501858736059%
Epoch 51, Loss: 0.497121851586835, Accuracy: 76.05947955390334%
Epoch 52, Loss: 0.49448192761698945, Accuracy: 76.13382899628253%
Epoch 53, Loss: 0.494991026608409, Accuracy: 76.43587360594796%
Epoch 54, Loss: 0.4980263336939408, Accuracy: 76.42657992565056%
Epoch 55, Loss: 0.495794237457094, Accuracy: 76.42193308550186%
